experiment_label,tolerance,enhancements,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,seqsolve1,TERMINATION_REASON_OPTIMAL,4520,106.327327929,4821.5,4160.333417489248,4160.193155131156,1.6855363840704093e-5,0.00012876369485875268,0.00010736687890555707,0.0016238851587191117,0.001337698695585532,9.573490375416283e-8,2.423631578003546e-7,6.964707393714027e-5,0.000668849347792766,377.9999999999954,593.787189063712,52.10031302941179
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,seqsolve2short4288,TERMINATION_REASON_OPTIMAL,1840,50.649928373,1969.5,0.0,1.1011500951202163e-5,1.1011379699384129e-5,0.001225208301339366,0.0009897163185978997,3.451361394808097e-6,2.6387786263981743e-6,2.725754498714688e-7,2.3074344433126997e-7,1.480259986103918e-7,1.3193893131990872e-6,378.00172768621246,615.4870753965819,0.9017106438642535
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,seqsolve3short4288excess384,TERMINATION_REASON_OPTIMAL,8960,232.062035141,9488.5,-50563.91091400469,-50573.938059518405,9.914237323717925e-5,0.04052783147821477,0.007045263423748338,0.015636380968210597,0.015632337981915434,8.983565616359305e-6,1.6425397036191265e-6,1.5290639935486652e-6,0.00015477562358332114,378.0011278381851,624.4111844549493,524.2367274802851
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,shipsched,TERMINATION_REASON_OPTIMAL,1960,4.519780766,2079.5,0.0,6.960847531445324e-5,6.960363031187088e-5,0.0010142065183182507,0.00014055813517188653,1.4449365685388436e-10,1.731749050228525e-11,1.0488879360492519e-10,1.8709901520384233e-9,4.3377174281959354e-12,8.658745251142626e-12,62865.00171038058,1.1198433602304102e6,82.4121930781901
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,shs1014,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,3054.015476616,100008.5,19868.187350493346,-8.082850345493722e7,0.9999999876311673,0.15034111297266642,0.06589631932908357,0.6064138618488744,0.3933163620457929,1.5174193426960513e-5,3.0836519513426196e-5,8.530926918322426e-5,0.0015669974583497725,321.00000747871684,1476.8361080917937,9057.073653422103
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,shs1023,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95160,3145.160615912,100014.5,11955.178552977668,-3.752666457935354e7,0.9999999733607687,0.019642551513507397,0.0015814576739865416,0.06040798070996052,0.045103263046645026,3.512363699275599e-6,7.593781727086875e-7,8.4975613300631e-6,0.00017969427508623517,471.99999748290014,1451.8807339081134,25786.904773540562
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,shs1042,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,3380.438293516,100030.5,9226.856141412907,-5.698674840059365e9,0.9999999998245209,0.06800353783921953,0.00800237632842915,5.2183799275105,2.2759111617439918,2.510634231492939e-6,1.9012596067295312e-6,0.0007339690748009788,0.009067375146390406,585.1697417976818,1619.2363635962085,4314.638690747763
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,sing11,TERMINATION_REASON_OPTIMAL,93280,1374.759884782,97977.5,1.863090559878021e7,1.862906039168852e7,4.9522510102192194e-5,0.07988488501241316,0.027869317038494046,17.877159167627326,5.621135182877396,3.7092751546750375e-6,1.5595588717679938e-5,1.5259155228850303e-5,0.00018680476584288487,399.81653280138045,7285.557923357952,542765.3536807697
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,sing17,TERMINATION_REASON_OPTIMAL,5680,228.266205782,5992.5,3.498642935141604e7,3.497996577570817e7,9.238114388690053e-5,0.5900031102624087,0.1523853550900327,3.5862661515970777,0.8220983282379564,1.9956267955557245e-5,8.844187759142931e-5,1.8866401026096116e-6,2.7320439859570648e-5,302.23124552935184,9340.257084298644,26486.78074576653
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,sing326,TERMINATION_REASON_OPTIMAL,13320,70.185214832,14037.5,7.686927407997765e6,7.686208338987175e6,4.67743845920254e-5,0.05234818105335504,0.01648276374089619,31.011405069095392,3.558018159836955,2.6310977565684675e-6,9.441651863609445e-6,2.5983687441411584e-5,0.00012572498999644983,356.803908461068,7001.454186847014,430529.17426146433
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,sing44,TERMINATION_REASON_OPTIMAL,15880,91.121083984,16705.5,8.074727167208516e6,8.073138178398402e6,9.840240042276055e-5,0.25303539659459806,0.09205365550792521,2.3209385680203605,0.4172407458065379,1.1788559530029217e-5,5.151295775485462e-5,1.9818574103323756e-6,1.3865982098762308e-5,321.4018360116497,7394.609739949712,667515.0967731383
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,sing5,TERMINATION_REASON_OPTIMAL,4080,54.277575174,4323.5,1.8270860466250733e7,1.8270614825483005e7,6.722245312858775e-6,0.41691057200403875,0.07908347239467162,2.76482597286824,0.5894596601611397,1.9682904286449394e-5,4.530057132732156e-5,2.6027702088513704e-6,3.580747131533474e-5,334.3630016265116,7128.027044810511,22372.741078733838
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,snip10x10-35r1budget17,TERMINATION_REASON_OPTIMAL,1040,12.883724859,1147.5,29.999999999999982,29.994122174916562,9.636707397089784e-5,1.335089881391467e-5,7.706634485016295e-6,2.864357544492749e-5,2.740966517134069e-5,3.857914167832605e-8,4.2814636027868306e-7,3.437920011280263e-8,1.0114267590900624e-7,1.000007706634485,111.55271840341933,41.039628525867556
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,snp-02-004-104,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,1653.365959941,100039.5,5.486666872282709e8,5.47709882607441e8,0.0008726970698585947,5.486331962360803,2.3734259127779254,0.006004689837923652,0.00223123917035592,6.2188664407288e-5,0.0002966411589523716,4.2249085451102234e-11,3.486311149207513e-11,441013.5662702727,4.1491096107831984e6,2.0628688112353787e6
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,sorrell3,TERMINATION_REASON_OPTIMAL,80,3.24333455,106.5,-511.9999999722313,-512.0000004587654,4.746673920214733e-10,7.131107009400227e-7,3.091295885937484e-8,0.0,0.0,1.7296208221858676e-9,1.545647942968742e-8,0.0,0.0,0.5000000154564794,15.999999999132227,0.023206646626943193
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,sorrell4,TERMINATION_REASON_OPTIMAL,80,10.33047065,106.5,-1023.9999979418368,-1024.0001688733344,8.34219051479541e-8,0.00015003375402337007,9.645320655504719e-6,0.0,0.0,2.1094461484271085e-7,4.822660327752359e-6,0.0,0.0,0.5000065676655238,22.627416952495263,0.019454099428188633
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,sorrell7,TERMINATION_REASON_OPTIMAL,80,1.578096147,105.5,-1024.0000005864194,-1024.0000000436135,2.649126364017901e-10,4.874851028079647e-6,7.266680839279616e-7,0.0,0.0,1.7299044507205412e-8,3.633340419639808e-7,0.0,0.0,0.5000008000193017,22.62741701092767,0.04545454506168765
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,sp97ar,TERMINATION_REASON_OPTIMAL,9640,20.976182663,10254.5,6.525657233729116e8,6.52549912530528e8,1.2114514558370054e-5,0.010684531845859843,0.006431831018982592,0.0,0.0,9.951820372318927e-5,0.00022970825067794972,0.0,0.0,1.0000000000000016,7.028194169151066,2.5336304184971184e7
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,sp97ic,TERMINATION_REASON_OPTIMAL,3800,8.476373475,4149.5,4.2210460667679906e8,4.220269317519949e8,9.201756026876102e-5,0.01215346148614934,0.006549922915141337,0.0,0.0,9.710560414174187e-5,0.00015975421744247165,0.0,0.0,0.803189961082704,2.7694805579954025,4.7445766744875265e6
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,sp98ar,TERMINATION_REASON_OPTIMAL,27920,70.617316932,29541.5,5.2439511046224785e8,5.243860074538119e8,8.679607471740873e-6,0.014216556640341483,0.008498957436808396,0.0,0.0,9.973872622371123e-5,0.00027415991731639987,0.0,0.0,0.9999999999999999,6.961734875467206,2.3260942045550436e7
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,sp98ic,TERMINATION_REASON_OPTIMAL,14320,28.331472834,15353.5,4.44281171685953e8,4.442605894996692e8,2.3164005519784534e-5,0.012841492964192654,0.01013973659511791,0.0,0.0,9.906170292716157e-5,0.00030726474530660334,0.0,0.0,0.9998908688699919,2.90613223941388,4.44254470267439e6
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,splice1k1,TERMINATION_REASON_OPTIMAL,600,6.891120877,672.5,-1646.9017637201052,-1647.2070546169405,9.264971619034527e-5,0.43214664354755394,0.02414704017337499,0.0,0.0,1.8483580270587595e-5,1.4581545998414849e-5,0.0,0.0,1646.9017637201052,1647.3992423468915,1.000000179303671
"1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k",1e-4,restarts+scaling+primal weight+step size,miplib_improvements_100k,square23,TERMINATION_REASON_OPTIMAL,20920,94.652751251,22325.5,8.333185917640266,8.331431206185545,9.933481390628131e-5,7.368188488540687e-5,2.0774007801205308e-5,0.00016088947484576703,0.00015277375144611186,3.0133178242525203e-6,1.0387003900602654e-5,1.477682966271303e-6,7.638687572305593e-5,1.2501472474114803,2.6764530652862315,5.174402169260299
