experiment_label,tolerance,stepsize,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,fastxgemm-n3r23s5t6,TERMINATION_REASON_OPTIMAL,4480,63.646998419,4746.0,83.99917751619704,83.99993650356355,4.4910730503649504e-6,0.0021491125047814214,0.001984949574136863,0.0,0.0,1.778700416133486e-5,2.3352347931021914e-5,0.0,0.0,0.13526437848921155,5.521509882958603,346.9498478004437
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,fhnw-binschedule0,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,2041.085165542,100004.0,12637.89107253523,12562.653267291871,0.002985444234243138,0.021836426361781736,0.002385164155846775,0.0,0.0,3.5439910307769322e-6,5.18513946923212e-5,0.0,0.0,12637.89107253523,12637.899530283026,166.41914201037304
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,fhnw-binschedule1,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95200,16729.401982528,100005.0,33400.591579646236,33356.66606292364,0.0006579787770641694,0.035330033022438805,0.0229232073033927,0.0,0.0,2.3515228762085598e-7,7.718251617303939e-5,0.0,0.0,33400.591579646236,33400.628075626315,190.76606653398667
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,fhnw-binschedule2,TERMINATION_REASON_OPTIMAL,11560,21.837889916,12179.0,1706.8864243908283,1706.620938986915,7.77521837442137e-5,0.000748691080123087,0.0005288766021749325,0.0,0.0,8.72229121072908e-7,2.5184600103568212e-5,0.0,0.0,1706.8864243908283,1706.9184457513613,46.27257873188208
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,fhnw-schedule-paira200,TERMINATION_REASON_OPTIMAL,200,1.088827125,252.0,-73.82647920904046,-73.82660432842526,8.416871135628149e-7,8.325739687290445e-14,3.3306690738754696e-15,0.0,0.0,3.4296972811952174e-17,1.6488504535083903e-17,0.0,0.0,1.551351145356991,86.18521205589374,0.001613351621146013
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,fhnw-schedule-paira400,TERMINATION_REASON_OPTIMAL,240,5.18555209,295.0,-146.94107870765657,-146.96454822860966,7.95831574897608e-5,3.27048182347132e-13,6.661338147750939e-15,0.0,0.0,4.686893472912251e-17,1.6570498003656448e-17,0.0,0.0,1.6027733729970672,180.59621294130076,0.0009146158711227673
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,fhnw-schedule-pairb200,TERMINATION_REASON_OPTIMAL,120,1.133585666,166.0,-73.82637260298306,-73.82647920904039,7.171477440888892e-7,0.0019405447995710452,0.001673812577658862,0.0,0.0,1.8680022549060828e-5,0.000836906288829431,0.0,0.0,1.0000000000000004,103.5579663269829,0.002366518417643725
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,fhnw-schedule-pairb400,TERMINATION_REASON_OPTIMAL,160,4.714383624,210.0,-146.94107047879862,-146.941078611156,2.7578330545292197e-8,0.0005333724000559075,0.0003537380854814476,0.0,0.0,2.473822036745696e-6,0.0001768690427407238,0.0,0.0,1.0000000000000013,215.30438580361854,0.0011348888262394364
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,fiball,TERMINATION_REASON_OPTIMAL,1360,3.012764932,1469.0,137.0735438909405,137.05038910762428,8.416128347633114e-5,0.0009285049114079708,0.0001339928236632204,0.0,0.0,2.814410487934003e-7,8.190270395062372e-8,0.0,0.0,137.0735438909405,149.09543649731094,0.5275541438378216
"1e-4,fixed,miplib_stepsize_100k",1e-4,fixed,miplib_stepsize_100k,genus-sym-g62-2,TERMINATION_REASON_OPTIMAL,320,1.849082094,376.0,-54.000000000000014,-54.004352181787944,3.992667908040332e-5,0.0009541721126683543,7.72315722192829e-5,0.0,0.0,3.7105330904234634e-6,3.861578610964145e-5,0.0,0.0,1.0000000000000002,9.98129065059645,1.925745703297963e-5
