experiment_label,tolerance,primal weight,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,snip10x10-35r1budget17,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,549.462793096,100039.5,-2185.5268388654686,-930.9129227772119,0.40245009110526,23.64870515260242,13.276341943273584,0.0,0.0,0.1023041267692102,0.737574552404088,0.0,0.0,1.0000000000000027,39.99635011209662,24.246482783838065
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,snp-02-004-104,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,95240,998.990628012,100033.5,4.93936685231761e8,5.3381876839203227e8,0.03880503185932494,356.1418958161765,130.9537949283623,0.02635951808595463,0.0040360064982640775,0.0041164183043843955,0.016367178468736695,1.262857240685325e-10,6.306328793985089e-11,450086.0562470876,4.268289265724614e6,6.205085107514936e6
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,sorrell3,TERMINATION_REASON_OPTIMAL,72280,849.696476855,76287.5,-512.0000000000019,-511.9999999999995,2.3846507424534064e-15,3.533039533063898e-11,1.475708444331758e-12,0.0,0.0,8.569242803309317e-14,7.37854222165879e-13,0.0,0.0,0.5000000000009205,16.00000000000006,0.023161016231036436
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,sorrell4,TERMINATION_REASON_OPTIMAL,93520,4364.449085341,98528.5,-1023.9999998315649,-1024.0000000000277,8.221711149453511e-11,5.62830990055376e-7,4.8654457351915426e-8,0.0,0.0,7.913297057159515e-10,2.4327228675957713e-8,0.0,0.0,0.5000000496464304,22.627416994247593,0.01948067162430406
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,sorrell7,TERMINATION_REASON_OPTIMAL,49680,110.342556067,52399.5,-1023.9999999915287,-1023.9999999999955,4.1321198401730865e-12,4.089899852950066e-9,8.705804965813968e-10,0.0,0.0,2.0495123629997488e-11,4.352902482906984e-10,0.0,0.0,0.5000000009642084,22.627416997782333,0.09090909090909798
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,sp97ar,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,94280,149.12169366,100006.5,5.827555052425781e8,6.228808391613388e8,0.033281456777348326,16.775390894907684,10.0,0.0,0.0,0.15807388082923296,0.35714285714285715,0.0,0.0,1.0000000000000009,7.347049867400714,6.393346785637284e6
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,sp97ic,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,94000,202.132192608,100007.5,3.751627524695732e8,3.994638093431367e8,0.03137131882661641,19.343924434454067,15.114779041142377,0.0,0.0,0.1546616182222497,0.36865314734493604,0.0,0.0,1.0000000000000004,3.629085709817437,3.0126062667040913e6
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,sp98ar,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,94680,195.644421748,100032.5,4.3570411916038275e8,4.7835282171791935e8,0.046658693352186004,32.03800501944031,19.0,0.0,0.0,0.2261115445035511,0.6129032258064516,0.0,0.0,1.0000000000000027,7.086419190814075,6.053613555760531e6
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,sp98ic,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,94280,175.08726773,100007.5,4.266105893810563e8,4.369486652182195e8,0.01197147244978458,6.767974200343576,3.0292030496253854,0.0,0.0,0.053605279938699374,0.09179403180682986,0.0,0.0,0.9804535729358431,3.087177934991185,3.5403206404621196e6
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,splice1k1,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,94360,783.39589482,100009.5,-1653.9999999999964,-1653.7896145076184,6.358382275366178e-5,61.727706014879146,19.952762778866827,0.0,0.0,0.0026401894497641745,0.012048769794001707,0.0,0.0,1.0000000000000089,40.65712887540844,0.026515872823255935
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,square23,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,93920,92.814529886,100038.5,3.9894404979010867,4.319885911616799,0.03549616794807667,0.6583148191159798,0.5005618749129803,0.0,0.0,0.02862238343982521,0.25028093745649016,0.0,0.0,1.2544775700389026,2.0179664428349184,0.44405596600823166
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,square31,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,93600,396.346992746,100009.5,3.994177528922412,4.296863540023279,0.03257826640251995,0.662874010036074,0.5213741032179708,0.0,0.0,0.021417605942706343,0.2606870516089854,0.0,0.0,1.188711795554489,1.9332974318889802,0.4101567808102974
"1e-8,Fixed 1e-4,miplib_primalweight_100k",1e-8,Fixed 1e-4,miplib_primalweight_100k,square37,TERMINATION_REASON_KKT_MATRIX_PASS_LIMIT,93560,1220.212338118,100040.5,3.9954954404468492,4.258103091486756,0.02837897604198668,0.6996295556882955,0.5464165127055887,0.0,0.0,0.018937363364128778,0.27320825635279433,0.0,0.0,1.168118114550871,1.9171314668745698,0.37135749598505335
