experiment_label,method,tolerance,experiment_name,instance_name,termination_reason,iteration_count,solve_time_sec,cumulative_kkt_matrix_passes,primal_objective,dual_objective,relative_optimality_gap,l2_primal_residual,l_inf_primal_residual,l2_dual_residual,l_inf_dual_residual,relative_l2_primal_residual,relative_l_inf_primal_residual,relative_l2_dual_residual,relative_l_inf_dual_residual,l_inf_primal_variable,l2_primal_variable,l_inf_dual_variable
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,chrom1024-7,TERMINATION_REASON_OPTIMAL,320,3.489726607,358.5,2.9999999934134642,2.9999999983691756,7.079587718030086e-10,2.3187383208944075e-7,1.5290907429132972e-9,0.0,0.0,1.695469752464496e-9,7.645453714566486e-10,0.0,0.0,0.7499999983533748,67.89698069079918,0.0001731295476301843
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,datt256,TERMINATION_REASON_OPTIMAL,1840,31.560598214,1953.5,255.99999999880058,255.99999555788588,8.65675386398498e-9,3.5466910977062544e-8,2.461596626535112e-8,0.0,0.0,1.4955076427427586e-9,8.205322088450373e-9,0.0,0.0,0.27712131958886005,1.4867092732756058,16.66900634743148
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,ex10,TERMINATION_REASON_OPTIMAL,360,3.482244372,403.5,99.99999999937448,99.99999994204686,2.8521206631953453e-10,1.1176665077202473e-8,5.727191609850024e-9,0.0,0.0,6.970909046675218e-10,1.431797902462506e-9,0.0,0.0,0.25000000140697426,1.848871616859781,1.8421474661775676
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,fome13,TERMINATION_REASON_DUAL_INFEASIBLE,1,0.39376145,5.5,-7.713449982363768e11,-5.08246337822068e12,0.7364638715066406,3158.629591964524,340.92368754290953,2.9155883853509045e8,1.9740643708841503e7,0.8684012874789483,1.1288863825924156,0.10078604371049543,0.32876937745603396,20.46151586665496,457.4270993092149,4.1749618860086106e7
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,graph40-40,TERMINATION_REASON_OPTIMAL,320,18.279694457,357.5,-300.0,-300.0000006240966,1.0384302347872485e-9,8.161483086850529e-7,4.3412003614129446e-7,0.0,0.0,1.3925922266944335e-9,1.4470667871376483e-7,0.0,0.0,1.0,17.353460689991806,0.0007264914289034659
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,lo10,TERMINATION_REASON_OPTIMAL,25480,1176.021310363,26799.5,1.4513431236937595e12,1.451343101569013e12,7.622162667623756e-9,0.019495415823370253,0.019247216918587107,0.0,0.0,9.900550434897916e-9,1.6799379353053658e-7,0.0,0.0,57700.00000000016,1.2924231595224363e6,23529.192799100783
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,long15,TERMINATION_REASON_OPTIMAL,14840,1370.892201999,15630.5,6.3335034686462814e10,6.3335033458503845e10,9.694152589396161e-9,0.007115614037587698,0.0020198558922857046,0.0,0.0,5.120843812514583e-9,2.899500578916119e-9,0.0,0.0,16376.99999999998,921754.4916345432,6808.730573972262
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,neos-3025225,TERMINATION_REASON_OPTIMAL,20640,636.284741727,21692.5,0.05257405193668726,0.05257404323498455,7.873788816695152e-9,2.8631198120563293e-9,2.857847514192713e-9,0.0,0.0,8.742687845144775e-12,8.766403417769058e-12,0.0,0.0,0.9942918440607249,21.419972721642917,0.19132128402910922
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,neos-5251015,TERMINATION_REASON_OPTIMAL,4280,120.913956658,4515.5,0.1058,0.10579999004964082,8.212577807114024e-9,2.2111583759256934e-12,7.043254868221993e-13,0.0,0.0,1.3268719660703428e-17,1.756422660404487e-15,0.0,0.0,11.574378421126445,146.04834280328694,1.499120496271365e-10
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,neos3,TERMINATION_REASON_OPTIMAL,1440,51.833984816,1554.5,27777.777745600666,27777.77751373902,4.173434531503811e-9,0.014782270526465314,0.014782270416617393,0.0,0.0,1.4782269048238409e-9,1.47822689383905e-9,0.0,0.0,3086.419748479261,146734.83502325963,0.5000000000009512
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,neos5052403,TERMINATION_REASON_OPTIMAL,152120,2256.983638737,159847.5,179.50037100885723,179.5003699617092,2.908738547209016e-9,9.602492464149129e-9,2.3278967642426096e-9,0.0,0.0,9.602492464149129e-9,2.3278967642426096e-9,0.0,0.0,1.9695902946678918,148.72942380932656,0.5520262890276714
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,nug08-3rd,TERMINATION_REASON_OPTIMAL,880,2.240266159,945.5,214.00000022834067,213.99999990715705,7.486797669999862e-10,3.2553405324343236e-9,6.841547328662045e-10,6.0976539086151216e-9,4.077689297332654e-10,6.510681064868647e-10,3.4207736643310227e-10,7.567225266204952e-12,1.8903195418473958e-11,0.2500000002694472,4.795831528205086,25.65209478754751
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,pds-100,TERMINATION_REASON_OPTIMAL,15160,443.607611428,15991.5,1.0928229732242226e10,1.0928229947561413e10,9.851512564654734e-9,0.0010015425307552518,0.00019178324315305417,0.0,0.0,7.945767769974336e-9,3.626009021441345e-9,0.0,0.0,11957.983969468321,51765.21277463614,135151.07501982854
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,qap15,TERMINATION_REASON_OPTIMAL,47600,116.049218168,50002.5,1040.9940379890033,1040.9940286212843,4.497250455184123e-9,6.394406481634877e-8,3.857205442634598e-9,0.0,0.0,9.872138012707511e-9,1.928602721317299e-9,0.0,0.0,0.2508549867255073,2.2520432348421493,67.03253813962196
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,rmine15,TERMINATION_REASON_OPTIMAL,61200,1101.531809214,64451.5,-5042.482931278832,-5042.482966086214,3.451070738748389e-9,0.0006102143136922681,0.00028736072999890894,0.0,0.0,9.902895421706125e-9,2.554090569717438e-8,0.0,0.0,1.0000000000000022,154.80551551337413,1.5161189127332462
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,savsched1,TERMINATION_REASON_OPTIMAL,880,37.202331734,958.5,217.40357149310876,217.40357121943453,6.27970964444708e-10,1.4791015925803977e-7,7.653635702986605e-8,0.0,0.0,1.026360209941348e-10,3.3865644703480556e-10,0.0,0.0,22.000000000000007,102.34787312866794,10.077970505909665
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,self,TERMINATION_REASON_OPTIMAL,1640,10.575803367,1745.5,0.0,-2.1774012161730594e-10,2.177401215698952e-10,5.416521793700753e-9,1.9411771232590806e-9,0.0,0.0,5.416521793700753e-9,1.9411771232590806e-9,0.0,0.0,0.001092606813530692,0.005509294974504464,2.488715788071256e-8
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,square15,TERMINATION_REASON_OPTIMAL,18440,1528.904106516,19409.5,6.14549200113195e10,6.145491888509489e10,9.163014345372204e-9,0.00037113133944494765,0.00012883543968200684,0.0,0.0,2.863895565740051e-10,2.6718978255740375e-10,0.0,0.0,16376.000000211301,924169.159421498,6643.744585385746
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,stp3d,TERMINATION_REASON_OPTIMAL,231680,3067.111465892,243374.5,481.877786928553,481.877780202718,6.971543104301594e-9,4.4918675544763817e-7,1.4241620815980127e-7,0.0,0.0,9.528561488354877e-9,7.120810407990064e-8,0.0,0.0,1.0000000000000002,23.511332525359713,65122.51052666106
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,support10,TERMINATION_REASON_OPTIMAL,35640,268.317275456,37744.5,3.3839236476043726,3.3839235712165396,9.833848529211791e-9,6.834293796225463e-8,4.3385418826979993e-8,0.0,0.0,2.4881052654694107e-10,2.1692709413489997e-8,0.0,0.0,1.0000000000000002,34.051489297914586,0.3515264625779127
"pdhg,1e-8,mittelmann_pdhg_mp_1h",pdhg,1e-8,mittelmann_pdhg_mp_1h,wide15,TERMINATION_REASON_OPTIMAL,14840,1402.576880737,15630.5,6.3335034686462814e10,6.3335033458503845e10,9.694152589396161e-9,0.007115614037587698,0.0020198558922857046,0.0,0.0,5.120843812514583e-9,2.899500578916119e-9,0.0,0.0,16376.99999999998,921754.4916345432,6808.730573972262
